name,mean_rmse,mean_mae,mean_pinball_q70,inference_p95_seconds,n_parameters,failed_folds,fold_rmses,fold_maes,service
sarima,0.0033929859603820897,0.0030319055456259412,0.0013595531763136756,0.0006941420011571608,4,0,"[0.0029083536433004084, 0.0033691616750449425, 0.0039014425628009193]","[0.0024866537104084084, 0.003066114105295993, 0.003542948821173422]",emailservice
seasonal_naive,0.004258751843090427,0.003651681592879742,0.0019226532375131306,0.00011745020092348568,0,0,"[0.0033976032627896476, 0.004002768374728444, 0.00537588389175319]","[0.0030227146179497085, 0.0033958043419949225, 0.004536525818694596]",emailservice
lstm,inf,inf,inf,inf,0,3,[],[],emailservice
sarima,0.018578482826989377,0.015295511498111043,0.00792285616914077,0.000437034000060521,3,0,"[0.021610375140081555, 0.020678953086841673, 0.013446120254044899]","[0.019322249236193693, 0.015109798770096716, 0.011454486488042724]",frontend
xgboost,0.019158108000631374,0.01571399300623821,0.00818699869442441,0.002079241601313697,3200,0,"[0.029079316384828323, 0.016770702778508974, 0.011624304838556821]","[0.02524733527357401, 0.01245133290850135, 0.009443310836639265]",frontend
holt_winters,0.019204385912981035,0.016178373173097924,0.008136157174623203,0.0033103248017141594,10,0,"[0.023863464054000482, 0.01823585730871122, 0.015513836376231403]","[0.020130380127480193, 0.015192047704112189, 0.013212691687701393]",frontend
seasonal_naive,0.02375098893107602,0.019700716997672965,0.0101714255892421,0.00011620800141827203,0,0,"[0.025476077977178137, 0.02234502826571739, 0.023431860550332532]","[0.0203388876497998, 0.01753571068884602, 0.021227552654373073]",frontend
lstm,inf,inf,inf,inf,0,3,[],[],frontend
xgboost,0.005406923355290871,0.0045803750498499204,0.002125765102322603,0.0021506669996597338,3200,0,"[0.006833429525431427, 0.004451153151306664, 0.004936187389134522]","[0.006344457008433646, 0.003755577573248568, 0.003641090567867547]",loadgenerator
holt_winters,0.005746094979899749,0.004628180297569072,0.0022293833789162145,0.003263058802258456,10,0,"[0.00588761911816098, 0.0049543407449374405, 0.006396325076600826]","[0.005046260466783772, 0.0038254200501503595, 0.005012860375773084]",loadgenerator
seasonal_naive,0.006545072515658573,0.005326574051713,0.0026747194310179274,0.00011795880127465352,0,0,"[0.0061677435198687625, 0.0062313614642850535, 0.007236112562821903]","[0.004744439041061258, 0.004939514803291211, 0.006295768310786532]",loadgenerator
sarima,0.007152267239886589,0.006152787312487414,0.0027704753011543845,0.0007333164008741732,5,0,"[0.007351233047987756, 0.007369866668571351, 0.00673570200310066]","[0.006341090815891237, 0.006476585543639269, 0.0056406855779317375]",loadgenerator
lstm,inf,inf,inf,inf,0,3,[],[],loadgenerator
xgboost,0.003542126993751534,0.002399387134132383,0.0013996645156478997,0.0019635585995274596,800,0,"[0.003784094669207242, 0.00442464566005421, 0.002417640651993149]","[0.0027584582075783123, 0.002991767374312447, 0.00144793582050639]",paymentservice
sarima,0.00390314625757078,0.0029465687969116284,0.0014880622855337824,0.00042609979936969467,4,0,"[0.004315397408932449, 0.005090378915699695, 0.0023036624480801946]","[0.0035202010469354145, 0.003647495603347306, 0.0016720097404521637]",paymentservice
holt_winters,0.00399790741923847,0.0030345416018652364,0.0014437759725095007,0.002696366399322869,10,0,"[0.00487949954731633, 0.004327705008760173, 0.0027865177016389033]","[0.003883065805671276, 0.0031923867079227397, 0.0020281722920016928]",paymentservice
